mean absolute percentage error,root mean squared error,R^2,mini child node size,tree depth
1.0057208952374457,4779.413649621059,0.6666672900110724,26,5
1.0175543379667398,4927.624053,0.6534486862558817,26,5
1.0020508820187664,4792.723214892316,0.666841007,27,5
1.0120015454045785,4852.664288776461,0.6619486799741449,27,5
1.0190703860100543,4873.939727098703,0.6609929190079066,27,5
1.026393724428423,4926.669146648385,0.6531090574896166,27,5
1.001933388404351,4838.072655,0.6606769705002529,27,5
1.0237390744133863,4899.705583078429,0.6549169540252824,28,5
0.9973447971686252,4814.148447126292,0.6674637194410558,28,5
1.0529130567378928,5013.25017,0.6458195373673072,28,5
1.0226162452351861,4861.395425768696,0.6564051559093156,28,5
1.0055535558803084,4844.587278096005,0.6579951315711492,28,5
1.0177037345998403,4904.331909060745,0.6572571570251893,29,5
1.0170404925274086,4919.7754979264355,0.6539249881399324,29,5
1.0142668608651464,4823.295403685962,0.6630646709997132,29,5
1.0191741864475083,4875.334093922763,0.6574813813065224,29,5
1.029139520147702,4918.459890623653,0.6497722865066511,29,5
1.0211450603096712,4830.193536,0.6639925675570901,30,5
1.002645687174284,4776.255105941594,0.6674007331655397,30,5
1.009019792431467,4919.801121536439,0.6549711666097057,30,5
1.0135017751174284,4935.325765173902,0.6533457100355716,30,5
1.0131870078781735,4854.512404910622,0.6593947799953206,30,5
0.9372910231642286,4602.165238353837,0.6921810632136258,5,6
0.939311173,4697.479738451847,0.6879198456641741,5,6
0.9534902959166348,4704.713848122556,0.6830363374583102,5,6
0.9580315227375724,4609.586549922567,0.693924527,5,6
0.9505718087345221,4623.086754762452,0.6896231622811636,5,6
0.91887896,4581.115405010989,0.6967556754664839,6,6
0.935681326,4658.504519032994,0.6894044350104169,6,6
0.9480204455836058,4632.306720966295,0.6899538030243546,6,6
0.9781241643784914,4742.743958192933,0.6820698085832149,6,6
0.9289261376762513,4570.556056754354,0.6954428655549552,6,6
0.9493363560011039,4676.843394589618,0.6850660353591791,7,6
0.9319760438992322,4559.6805173610055,0.6985238873291661,7,6
0.9487226992772197,4693.720191622413,0.6862413733775202,7,6
0.968175204,4763.918562797941,0.6777080096290994,7,6
0.9221811412408917,4546.392821198213,0.6986019941155224,7,6
0.9474838555400648,4650.471956275471,0.6886384314165861,8,6
